generation,finish_count,best_finish_time,mean_penalized_time,std_penalized_time,p10_penalized_time,p25_penalized_time,median_penalized_time,p75_penalized_time,p90_penalized_time,best_finish_time_so_far
1,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
2,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
3,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
4,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
5,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
6,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
7,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
8,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
9,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
10,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
11,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
12,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
13,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
14,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
15,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
16,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
17,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
18,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
19,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
20,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
21,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
22,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
23,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
24,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
25,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
26,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
27,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
28,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
29,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
30,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
31,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
32,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
33,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
34,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
35,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
36,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
37,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
38,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
39,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
40,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
41,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
42,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
43,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
44,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
45,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
46,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
47,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
48,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
49,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
50,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
51,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
52,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
53,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
54,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
55,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
56,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
57,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
58,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
59,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
60,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
61,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
62,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
63,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
64,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
65,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
66,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
67,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
